Postal_code,Population
" ,"" "",""1906 Frederiksberg C (Frederiksberg Municipality)"",138"
" ,"" "",""1908 Frederiksberg C (Frederiksberg Municipality)"",292"
" ,"" "",""1909 Frederiksberg C (Frederiksberg Municipality)"",774"
" ,"" "",""1910 Frederiksberg C (Frederiksberg Municipality)"",257"
" ,"" "",""1911 Frederiksberg C (Frederiksberg Municipality)"",402"
" ,"" "",""1912 Frederiksberg C (Frederiksberg Municipality)"",270"
" ,"" "",""1913 Frederiksberg C (Frederiksberg Municipality)"",220"
" ,"" "",""1914 Frederiksberg C (Frederiksberg Municipality)"",148"
" ,"" "",""1915 Frederiksberg C (Frederiksberg Municipality)"",337"
" ,"" "",""1916 Frederiksberg C (Frederiksberg Municipality)"",165"
" ,"" "",""1917 Frederiksberg C (Frederiksberg Municipality)"",119"
" ,"" "",""1920 Frederiksberg C (Frederiksberg Municipality)"",512"
" ,"" "",""1921 Frederiksberg C (Frederiksberg Municipality)"",75"
" ,"" "",""1922 Frederiksberg C (Frederiksberg Municipality)"",96"
" ,"" "",""1923 Frederiksberg C (Frederiksberg Municipality)"",227"
" ,"" "",""1924 Frederiksberg C (Frederiksberg Municipality)"",177"
" ,"" "",""1925 Frederiksberg C (Frederiksberg Municipality)"",37"
" ,"" "",""1926 Frederiksberg C (Frederiksberg Municipality)"",37"
" ,"" "",""1927 Frederiksberg C (Frederiksberg Municipality)"",63"
" ,"" "",""1928 Frederiksberg C (Frederiksberg Municipality)"",14"
" ,"" "",""1950 Frederiksberg C (Frederiksberg Municipality)"",472"
" ,"" "",""1951 Frederiksberg C (Frederiksberg Municipality)"",166"
" ,"" "",""1952 Frederiksberg C (Frederiksberg Municipality)"",324"
" ,"" "",""1953 Frederiksberg C (Frederiksberg Municipality)"",415"
" ,"" "",""1954 Frederiksberg C (Frederiksberg Municipality)"",1166"
" ,"" "",""1955 Frederiksberg C (Frederiksberg Municipality)"",371"
" ,"" "",""1956 Frederiksberg C (Frederiksberg Municipality)"",376"
" ,"" "",""1957 Frederiksberg C (Frederiksberg Municipality)"",380"
" ,"" "",""1958 Frederiksberg C (Frederiksberg Municipality)"",310"
" ,"" "",""1959 Frederiksberg C (Frederiksberg Municipality)"",80"
" ,"" "",""1960 Frederiksberg C (Frederiksberg Municipality)"",591"
" ,"" "",""1961 Frederiksberg C (Frederiksberg Municipality)"",404"
" ,"" "",""1962 Frederiksberg C (Frederiksberg Municipality)"",229"
" ,"" "",""1963 Frederiksberg C (Frederiksberg Municipality)"",157"
" ,"" "",""1964 Frederiksberg C (Frederiksberg Municipality)"",455"
" ,"" "",""1965 Frederiksberg C (Frederiksberg Municipality)"",78"
" ,"" "",""1966 Frederiksberg C (Frederiksberg Municipality)"",251"
" ,"" "",""1967 Frederiksberg C (Frederiksberg Municipality)"",210"
" ,"" "",""1970 Frederiksberg C (Frederiksberg Municipality)"",523"
" ,"" "",""1971 Frederiksberg C (Frederiksberg Municipality)"",145"
" ,"" "",""1972 Frederiksberg C (Frederiksberg Municipality)"",380"
" ,"" "",""1973 Frederiksberg C (Frederiksberg Municipality)"",311"
" ,"" "",""1974 Frederiksberg C (Frederiksberg Municipality)"",24"
" ,"" "",""2000 Frederiksberg (København Municipality, Frederiksberg Municipality)"",71564"
" ,"" "",""2100 København Ø (København Municipality)"",92234"
" ,"" "",""2150 Nordhavn (København Municipality)"",4096"
" ,"" "",""2200 København N (København Municipality, Frederiksberg Municipality)"",77456"
" ,"" "",""2300 København S (København Municipality, Tårnby Municipality)"",155509"
" ,"" "",""2400 København NV (København Municipality)"",54596"
" ,"" "",""2450 København SV (København Municipality)"",39452"
" ,"" "",""2500 Valby (København Municipality)"",65427"
" ,"" "",""2600 Glostrup (Glostrup Municipality, Albertslund Municipality)"",29065"
" ,"" "",""2605 Brøndby (Brøndby Municipality, Glostrup Municipality)"",26655"
" ,"" "",""2610 Rødovre (København Municipality, Hvidovre Municipality, Rødovre Municipality)"",45619"
" ,"" "",""2620 Albertslund (Albertslund Municipality)"",25946"
" ,"" "",""2625 Vallensbæk (Vallensbæk Municipality)"",6523"
" ,"" "",""2630 Taastrup (Høje-Taastrup Municipality)"",40801"
" ,"" "",""2635 Ishøj (Ishøj Municipality)"",24608"
" ,"" "",""2640 Hedehusene (Høje-Taastrup Municipality, Ishøj Municipality, Greve Municipality, Roskilde Municipality)"",19646"
" ,"" "",""2650 Hvidovre (Brøndby Municipality, Hvidovre Municipality)"",53658"
" ,"" "",""2660 Brøndby Strand (Brøndby Municipality, Hvidovre Municipality)"",14257"
" ,"" "",""2665 Vallensbæk Strand (Vallensbæk Municipality)"",12166"
" ,"" "",""2670 Greve (Greve Municipality)"",38700"
" ,"" "",""2680 Solrød Strand (Solrød Municipality)"",19405"
" ,"" "",""2690 Karlslunde (Greve Municipality, Solrød Municipality)"",9647"
" ,"" "",""2700 Brønshøj (København Municipality)"",46484"
" ,"" "",""2720 Vanløse (København Municipality, Frederiksberg Municipality)"",33191"
" ,"" "",""2730 Herlev (Ballerup Municipality, Gladsaxe Municipality, Herlev Municipality)"",32105"
" ,"" "",""2740 Skovlunde (Ballerup Municipality, Herlev Municipality)"",14017"
" ,"" "",""2750 Ballerup (Ballerup Municipality, Albertslund Municipality, Egedal Municipality)"",33965"
" ,"" "",""2760 Måløv (Ballerup Municipality)"",5582"
" ,"" "",""2765 Smørum (Egedal Municipality)"",12554"
